y,x0,x1,x2,x3,x4,x5,x6,x7
0.9,A0,A0,A0,150.0,150.0,6,A0,A0
25.42,A1,A1,A1,235.0,20.0,3,A0,A1
2.5,A0,A2,A0,90.0,70.0,12,A0,A1
0.8,A1,A3,A1,90.0,150.0,2,A0,A2
18.49,A0,A4,A1,110.0,5.0,3,A0,A1
13.3,A1,,A1,140.0,150.0,11,A1,A1
3.8,A0,A0,A1,193.0,150.0,5,A0,A1
4.3,A1,A2,A1,80.0,100.0,7,A0,A1
1.35,A0,A4,A0,101.0,150.0,3,A0,A1
3.378,A1,A4,A1,125.0,150.0,8,A0,A1
3.65,A1,A4,A1,131.0,150.0,7,A1,A1
3.499,A0,A5,A1,114.0,150.0,12,A0,A1
4.2,A0,A6,A1,136.0,125.0,3,A0,A1
3.8,A0,A0,A1,155.0,150.0,4,A1,A1
1.2,A1,A2,A1,60.0,150.0,9,A0,A1
1.5,A1,A7,A1,,125.0,10,A2,A1
8.999,A0,A4,A0,90.0,150.0,9,A1,A1
13.999,A1,A5,A1,135.0,40.0,4,A0,A1
1.2,A1,A2,A1,58.0,150.0,4,A0,A1
12.0,A0,A3,A2,200.0,125.0,10,A2,A1
1.25,A0,A7,A1,0.0,150.0,0,A0,A1
0.999,A0,A2,A1,60.0,150.0,8,A0,A1
7.5,A0,A6,A1,140.0,150.0,3,A0,A2
8.8,A0,A4,A1,177.0,150.0,10,A1,A1
19.8,A0,,A1,140.0,50.0,11,A1,A1
16.48,A0,A8,A0,140.0,40.0,6,A1,A1
1.8,A1,A2,A1,77.0,150.0,2,A3,A1
8.799,A0,A0,A0,170.0,150.0,9,A1,A1
0.175,A0,A2,A1,60.0,5.0,5,A2,A2
4.95,A0,A8,A1,140.0,150.0,10,A1,A1
2.8,A0,,A2,0.0,150.0,10,A0,A2
0.55,A1,A7,A1,55.0,125.0,11,A0,A1
45.5,A0,A0,A0,245.0,30.0,3,A1,A1
0.99,A0,A2,A1,75.0,150.0,10,A0,A1
15.5,A1,A5,A1,140.0,125.0,3,A1,A0
1.9,A1,A2,A1,80.0,125.0,1,A0,A1
6.25,A0,A4,A1,129.0,150.0,10,A0,A1
3.99,A1,A2,A2,75.0,100.0,0,A0,A2
0.9,A0,A0,A0,,150.0,0,A2,A2
0.5,A1,A4,A1,150.0,150.0,8,A0,A0
6.7,A0,A0,A1,150.0,150.0,10,A1,A1
2.45,A0,A7,A0,101.0,150.0,6,A2,A2
8.0,A1,A4,A1,218.0,150.0,3,A0,A1
7.699,A1,A4,A0,224.0,150.0,12,A1,A1
0.0,A0,A8,A1,60.0,5.0,0,A2,A2
5.5,A0,A2,A1,80.0,125.0,11,A0,A1
27.5,A0,A5,A0,224.0,150.0,12,A1,A1
1.45,A0,A8,A1,68.0,150.0,0,A1,A2
66.9,A0,A5,A0,313.0,20.0,6,A1,A1
29.99,A0,A3,A0,245.0,150.0,8,A1,A1
1.4,A0,A4,A1,84.0,150.0,12,A2,A2
1.35,A0,A4,A1,0.0,150.0,1,A0,A2
5.8,A0,A4,A1,163.0,150.0,5,A1,A1
4.999,A0,A0,A0,170.0,150.0,10,A1,A1
2.5,A1,A7,A2,0.0,5.0,0,A2,A2
3.4,A0,A2,A1,92.0,150.0,3,A0,A1
7.2,A0,A4,A1,101.0,70.0,10,A0,A1
3.499,A0,A3,A0,82.0,125.0,3,A0,A1
9.0,A0,,A2,0.0,80.0,5,A1,A1
0.79,A1,A0,A1,102.0,150.0,6,A1,A1
5.1,A1,A3,A2,0.0,80.0,5,A0,A1
0.55,A0,A4,A1,101.0,150.0,0,A0,A0
